classifier_name,dataset_name,accuracy
1-NN DTW,23,80.8
1-NN DTW,24,83.0
1-NN DTW,25,90.5
1-NN DTW,26,69.0
1-NN DTW,27,82.3
1-NN DTW,28,55.5
1-NN DTW,29,62.0
1-NN DTW,30,90.7
1-NN DTW,31,46.7
1-NN DTW,32,88.1
1-NN DTW,33,37.7
1-NN DTW,34,53.1
1-NN DTW,35,38.4
1-NN DTW,36,35.5
1-NN DTW,37,95.0
1-NN DTW,38,79.5
1-NN DTW,39,86.9
1-NN DTW,40,72.6
1-NN DTW,41,93.4
1-NN DTW,42,93.3
1-NN DTW,43,73.7
1-NN DTW,44,50.0
1-NN DTW,45,69.8
1-NN DTW,46,50.6
1-NN DTW,47,83.5
1-NN DTW,48,79.0
1-NN DTW,49,86.5
1-NN DTW,50,83.3
1-NN DTW,51,59.1
1-NN DTW,52,72.8
1-NN DTW,53,22.8
1-NN DTW,54,100.0
1-NN DTW,55,80.5
1-NN DTW,56,78.4
1-NN DTW,57,75.6
1-NN DTW,58,46.4
1-NN DTW,59,39.7
1-NN DTW,60,65.0
1-NN DTW,61,76.8
1-NN DTW,62,64.3
1-NN DTW,63,72.5
1-NN DTW,64,83.1
1-NN DTW,65,90.7
1-NN DTW,66,94.1
1-NN DTW,67,79.2
1-NN DTW,68,95.0
1-NN DTW,69,99.3
1-NN DTW,70,77.2
1-NN DTW,71,83.8
1-NN DTW,72,100.0
1-NN DTW,73,100.0
1-NN DTW,74,90.4
1-NN DTW,75,72.8
1-NN DTW,76,63.4
1-NN DTW,77,65.8
1-NN DTW,78,89.2
1-NN DTW,79,98.0
1-NN DTW,80,57.4
1-NN DTW,81,64.9
1-NN DTW,82,58.4
1-NN DTW,83,62.3
1-NN DTW,84,83.6
LS,0,56.32
LS,1,84.57142857
LS,2,76.0
LS,3,80.0
LS,4,80.0
LS,5,76.66666667
LS,6,99.44
LS,7,65.14
LS,8,83.3
LS,9,100.0
LS,10,58.4
LS,11,79.08
LS,12,75.13
LS,13,79.95
LS,14,96.67
LS,15,77.89855072
LS,16,71.94244604
LS,17,62.58992806
LS,18,74.10071942
LS,19,87.4
LS,20,93.22222222
LS,21,100.0
LS,22,58.747244200000004
LS,23,78.25
LS,24,95.22
LS,25,94.13
LS,26,76.81
LS,27,93.37
LS,28,95.68181820000001
LS,29,91.72839509999999
LS,30,100.0
LS,31,66.66666667
LS,32,48.1081081
LS,33,46.82
LS,34,62.5
LS,35,42.73
LS,36,60.60606061
LS,37,96.95
LS,38,70.13333333
LS,39,82.3
LS,40,80.27
LS,41,95.43
LS,42,73.33333333
LS,43,72.95
LS,44,78.00687285
LS,45,57.14285714
LS,46,50.64935065
LS,47,91.29
LS,48,86.92
LS,49,91.14
LS,50,44.0
LS,51,81.82
LS,52,76.45687646
LS,53,21.835442999999998
LS,54,100.0
LS,55,84.87972509
LS,56,83.41463415
LS,57,77.56097561
LS,58,51.46666667
LS,59,42.93333333
LS,60,95.0
LS,61,76.83333329999999
LS,62,66.4
LS,63,89.74
LS,64,91.84
LS,65,96.65
LS,66,91.08108108
LS,67,91.3
LS,68,96.44
LS,69,99.27
LS,70,93.42105263
LS,71,91.53846154
LS,72,100.0
LS,73,99.7
LS,74,99.74
LS,75,79.98
LS,76,71.29
LS,77,73.15
LS,78,95.3378001
